vessel,1362495804,21,1104,39
wind_speed,1362495864,48.9,-30.3,18.3
vessel,1362495864,2,1904,12
wind_speed,1362495924,36.1,-47.5,14.2
vessel,1362495984,0,1088,26
vessel,1362496044,2,1441,40
vessel,1362496284,9,1187,87
vessel,1362496524,3,1011,85
vessel,1362496584,8,1381,28
vessel,1362496704,2,1800,94
wind_speed,1362496764,36.1,-47.5,7.6
wind_speed,1362496764,25.2,-46.8,2.5
wind_speed,1362496764,25.2,-46.8,8.3
wind_speed,1362496944,48.9,-30.3,17.3
vessel,1362497004,24,1526,97
vessel,1362497124,13,1703,57
vessel,1362497184,20,1888,31
wind_speed,1362497184,30.9,-19.2,9.9
wind_speed,1362497304,25.2,-46.8,5.5
vessel,1362497424,4,1692,26
vessel,1362497424,14,1876,86
wind_speed,1362497724,30.9,-19.2,4.0
vessel,1362497784,8,1537,26
wind_speed,1362497904,48.9,-30.3,6.3
vessel,1362497904,5,1348,25
wind_speed,1362497964,30.9,-19.2,15.5
wind_speed,1362498024,30.9,-19.2,5.7
vessel,1362498144,7,1946,69
vessel,1362498204,24,1873,92
wind_speed,1362498564,48.9,-30.3,8.5
vessel,1362498684,11,1670,65
vessel,1362498864,21,1328,1
vessel,1362498864,17,1840,0
wind_speed,1362498924,36.1,-47.5,11.5
wind_speed,1362498984,25.2,-46.8,18.9
wind_speed,1362499104,25.2,-46.8,15.9
vessel,1362499464,6,1936,13
vessel,1362499464,21,1222,87
vessel,1362499524,14,1189,72
vessel,1362499584,19,1267,64
wind_speed,1362499584,36.1,-47.5,3.2
vessel,1362499644,6,1369,57
vessel,1362499764,9,1574,92
wind_speed,1362499944,30.9,-19.2,13.4
wind_speed,1362500004,36.1,-47.5,8.7
vessel,1362500064,16,1140,1
wind_speed,1362500064,30.9,-19.2,15.2
vessel,1362500544,7,1775,1
wind_speed,1362500784,48.9,-30.3,1.7
wind_speed,1362500904,30.9,-19.2,10.9
wind_speed,1362501024,30.9,-19.2,14.6
vessel,1362501024,23,1326,23
vessel,1362501084,22,1222,53
wind_speed,1362501144,36.1,-47.5,4.4
vessel,1362501264,5,1839,25
vessel,1362501624,22,1976,86
vessel,1362501684,20,1054,17
vessel,1362501804,23,1967,18
vessel,1362501804,17,1833,40
vessel,1362501924,20,1094,13
vessel,1362502104,8,1343,17
wind_speed,1362502224,48.9,-30.3,1.4
wind_speed,1362502224,30.9,-19.2,7.3
vessel,1362502224,19,1751,22
vessel,1362502284,6,1529,36
wind_speed,1362502344,48.9,-30.3,11.7
vessel,1362502344,12,1913,18
vessel,1362502344,3,1075,51
vessel,1362502404,8,1586,69
vessel,1362502464,7,1463,73
